RowName,IDNum,InGame,GamesPlayed,SkillRating
Bot0,0,FALSE,0,3800.235352
Bot1,1,FALSE,0,5002.133789
Bot2,2,FALSE,0,4741.648438
Bot3,3,FALSE,0,5875.079102
Bot4,4,FALSE,0,4154.091309
Bot5,5,FALSE,0,5665.065918
Bot6,6,FALSE,0,5784.975586
Bot7,7,FALSE,0,4351.401367
Bot8,8,FALSE,0,4134.652832
Bot9,9,FALSE,0,3704.834961
Bot10,10,FALSE,0,3994.398926
Bot11,11,FALSE,0,6341.90918
Bot12,12,FALSE,0,5180.268555
Bot13,13,FALSE,0,4940.893555
Bot14,14,FALSE,0,3644.738281
Bot15,15,FALSE,0,4095.360596
Bot16,16,FALSE,0,2746.924072
Bot17,17,FALSE,0,2299.76709
Bot18,18,FALSE,0,2580.463867
Bot19,19,FALSE,0,2916.747803
Bot20,20,FALSE,0,1865.20105
Bot21,21,FALSE,0,3501.104492
Bot22,22,FALSE,0,2676.359375
Bot23,23,FALSE,0,3298.893555
Bot24,24,FALSE,0,3174.865723
Bot25,25,FALSE,0,3539.643799
Bot26,26,FALSE,0,1507.528809
Bot27,27,FALSE,0,2618.01001
Bot28,28,FALSE,0,1626.585327
Bot29,29,FALSE,0,1470.150269
Bot30,30,FALSE,0,1616.201416
Bot31,31,FALSE,0,2648.490967
Bot32,32,FALSE,0,1603.427979
Bot33,33,FALSE,0,2815.837891
Bot34,34,FALSE,0,3019.320801
Bot35,35,FALSE,0,1881.905762
Bot36,36,FALSE,0,1360.21875
Bot37,37,FALSE,0,1994.83252
Bot38,38,FALSE,0,1538.907349
Bot39,39,FALSE,0,3320.043457
Bot40,40,FALSE,0,1354.679688
Bot41,41,FALSE,0,1880.265137
Bot42,42,FALSE,0,314.385559
Bot43,43,FALSE,0,55.686489
Bot44,44,FALSE,0,1242.857056
Bot45,45,FALSE,0,2387.146973
Bot46,46,FALSE,0,2299.827148
Bot47,47,FALSE,0,1381.134277
Bot48,48,FALSE,0,1272.727539
Bot49,49,FALSE,0,0.0
Bot50,50,FALSE,0,1523.942627
Bot51,51,FALSE,0,1544.041138
Bot52,52,FALSE,0,2233.768799
Bot53,53,FALSE,0,753.577881
Bot54,54,FALSE,0,434.865295
Bot55,55,FALSE,0,926.438354
Bot56,56,FALSE,0,1454.0896
Bot57,57,FALSE,0,2060.997559
Bot58,58,FALSE,0,1197.182007
Bot59,59,FALSE,0,1394.964233
Bot60,60,FALSE,0,3389.487305
Bot61,61,FALSE,0,1757.414673
Bot62,62,FALSE,0,1214.715576
Bot63,63,FALSE,0,1672.393555
Bot64,64,FALSE,0,782.865967
Bot65,65,FALSE,0,1946.658447
Bot66,66,FALSE,0,2926.676514
Bot67,67,FALSE,0,1252.263306
Bot68,68,FALSE,0,2034.644165
Bot69,69,FALSE,0,1129.186279
Bot70,70,FALSE,0,425.422729
Bot71,71,FALSE,0,1613.288086
Bot72,72,FALSE,0,0.0
Bot73,73,FALSE,0,0.0
Bot74,74,FALSE,0,1259.091553
Bot75,75,FALSE,0,806.103699
Bot76,76,FALSE,0,251.167542
Bot77,77,FALSE,0,759.524109
Bot78,78,FALSE,0,1402.346313
Bot79,79,FALSE,0,99.194809
Bot80,80,FALSE,0,984.671265
Bot81,81,FALSE,0,334.76181
Bot82,82,FALSE,0,1228.706909
Bot83,83,FALSE,0,1350.612305
Bot84,84,FALSE,0,37.143005
Bot85,85,FALSE,0,1453.779053
Bot86,86,FALSE,0,0.0
Bot87,87,FALSE,0,0.0
Bot88,88,FALSE,0,514.982178
Bot89,89,FALSE,0,0.0
Bot90,90,FALSE,0,955.79895
Bot91,91,FALSE,0,552.380798
Bot92,92,FALSE,0,0.0
Bot93,93,FALSE,0,0.0
Bot94,94,FALSE,0,0.0
Bot95,95,FALSE,0,69.0476
Bot96,96,FALSE,0,276.190399
Bot97,97,FALSE,0,730.302307
Bot98,98,FALSE,0,0.0
Bot99,99,FALSE,0,415.909332
