RowName,IDNum,InGame,GamesPlayed,Mu,Sigma
Bot0,0,FALSE,0,57.438011,0.320092
Bot1,1,FALSE,0,71.636703,0.320092
Bot2,2,FALSE,0,67.708824,0.320092
Bot3,3,FALSE,0,83.483063,0.320092
Bot4,4,FALSE,0,63.480221,0.320092
Bot5,5,FALSE,0,60.164986,0.320092
Bot6,6,FALSE,0,48.484409,0.320092
Bot7,7,FALSE,0,63.685944,0.320092
Bot8,8,FALSE,0,58.498127,0.320092
Bot9,9,FALSE,0,44.336044,0.320092
Bot10,10,FALSE,0,58.561367,0.320092
Bot11,11,FALSE,0,54.578121,0.320092
Bot12,12,FALSE,0,62.792065,0.320092
Bot13,13,FALSE,0,64.234505,0.320092
Bot14,14,FALSE,0,52.400238,0.320092
Bot15,15,FALSE,0,62.723553,0.320092
Bot16,16,FALSE,0,39.318077,0.320092
Bot17,17,FALSE,0,67.437019,0.320092
Bot18,18,FALSE,0,40.749428,0.320092
Bot19,19,FALSE,0,42.627583,0.320092
Bot20,20,FALSE,0,45.885498,0.320092
Bot21,21,FALSE,0,53.029537,0.320092
Bot22,22,FALSE,0,52.388451,0.320092
Bot23,23,FALSE,0,45.889816,0.320092
Bot24,24,FALSE,0,51.712646,0.320092
Bot25,25,FALSE,0,44.17923,0.320092
Bot26,26,FALSE,0,45.493698,0.320092
Bot27,27,FALSE,0,58.648201,0.320092
Bot28,28,FALSE,0,52.307152,0.320092
Bot29,29,FALSE,0,46.233341,0.320092
Bot30,30,FALSE,0,37.216606,0.320092
Bot31,31,FALSE,0,48.163525,0.320092
Bot32,32,FALSE,0,42.775055,0.320092
Bot33,33,FALSE,0,33.039597,0.320093
Bot34,34,FALSE,0,48.795216,0.320092
Bot35,35,FALSE,0,33.693512,0.320093
Bot36,36,FALSE,0,31.573616,0.320092
Bot37,37,FALSE,0,32.819736,0.320094
Bot38,38,FALSE,0,34.548576,0.320093
Bot39,39,FALSE,0,40.105503,0.320092
Bot40,40,FALSE,0,40.20652,0.320093
Bot41,41,FALSE,0,32.931324,0.320092
Bot42,42,FALSE,0,47.235619,0.320092
Bot43,43,FALSE,0,34.315998,0.320093
Bot44,44,FALSE,0,32.985344,0.320092
Bot45,45,FALSE,0,25.050486,0.320092
Bot46,46,FALSE,0,38.497658,0.320094
Bot47,47,FALSE,0,39.834702,0.320092
Bot48,48,FALSE,0,31.94088,0.320093
Bot49,49,FALSE,0,27.823647,0.320093
Bot50,50,FALSE,0,28.809118,0.320092
Bot51,51,FALSE,0,25.148874,0.320092
Bot52,52,FALSE,0,33.055511,0.320092
Bot53,53,FALSE,0,30.406858,0.320093
Bot54,54,FALSE,0,26.620335,0.320092
Bot55,55,FALSE,0,30.509441,0.320092
Bot56,56,FALSE,0,19.75354,0.320092
Bot57,57,FALSE,0,33.242352,0.320092
Bot58,58,FALSE,0,45.110168,0.320093
Bot59,59,FALSE,0,33.29007,0.320093
Bot60,60,FALSE,0,39.776958,0.320092
Bot61,61,FALSE,0,25.95026,0.320092
Bot62,62,FALSE,0,28.037502,0.320092
Bot63,63,FALSE,0,37.77877,0.320093
Bot64,64,FALSE,0,25.419724,0.320093
Bot65,65,FALSE,0,15.940415,0.320092
Bot66,66,FALSE,0,14.276784,0.320092
Bot67,67,FALSE,0,22.866545,0.320092
Bot68,68,FALSE,0,23.284298,0.320092
Bot69,69,FALSE,0,38.743084,0.320092
Bot70,70,FALSE,0,22.610243,0.320093
Bot71,71,FALSE,0,48.561932,0.320093
Bot72,72,FALSE,0,31.563126,0.320092
Bot73,73,FALSE,0,48.972343,0.320092
Bot74,74,FALSE,0,24.335337,0.320092
Bot75,75,FALSE,0,34.46946,0.320093
Bot76,76,FALSE,0,32.224449,0.320092
Bot77,77,FALSE,0,33.900059,0.320093
Bot78,78,FALSE,0,8.646066,0.320092
Bot79,79,FALSE,0,19.757118,0.320092
Bot80,80,FALSE,0,22.81115,0.320092
Bot81,81,FALSE,0,25.472178,0.320092
Bot82,82,FALSE,0,13.589602,0.320092
Bot83,83,FALSE,0,25.570303,0.320092
Bot84,84,FALSE,0,16.641338,0.320092
Bot85,85,FALSE,0,11.615159,0.320092
Bot86,86,FALSE,0,9.421972,0.320092
Bot87,87,FALSE,0,17.543459,0.320092
Bot88,88,FALSE,0,16.726776,0.320092
Bot89,89,FALSE,0,19.520878,0.320092
Bot90,90,FALSE,0,4.03396,0.320092
Bot91,91,FALSE,0,14.204798,0.320092
Bot92,92,FALSE,0,30.774452,0.320092
Bot93,93,FALSE,0,5.747733,0.320092
Bot94,94,FALSE,0,10.600141,0.320092
Bot95,95,FALSE,0,10.267966,0.320092
Bot96,96,FALSE,0,1.329857,0.320093
Bot97,97,FALSE,0,2.386338,0.320092
Bot98,98,FALSE,0,4.88116,0.320092
Bot99,99,FALSE,0,23.572798,0.320092
