RowName,IDNum,InGame,GamesPlayed,Mu,Sigma
Bot0,0,FALSE,0,52.122013,0.321728
Bot1,1,FALSE,0,47.386803,0.321728
Bot2,2,FALSE,0,52.47044,0.321728
Bot3,3,FALSE,0,57.708042,0.321728
Bot4,4,FALSE,0,48.314796,0.321728
Bot5,5,FALSE,0,53.803307,0.321728
Bot6,6,FALSE,0,52.961586,0.321728
Bot7,7,FALSE,0,52.57869,0.321728
Bot8,8,FALSE,0,48.359028,0.321728
Bot9,9,FALSE,0,43.760658,0.321728
Bot10,10,FALSE,0,48.01049,0.321728
Bot11,11,FALSE,0,43.669762,0.321728
Bot12,12,FALSE,0,52.967564,0.321728
Bot13,13,FALSE,0,38.336182,0.321728
Bot14,14,FALSE,0,32.457321,0.323802
Bot15,15,FALSE,0,37.621906,0.321728
Bot16,16,FALSE,0,38.962566,0.321728
Bot17,17,FALSE,0,37.582794,0.321728
Bot18,18,FALSE,0,35.794254,0.322557
Bot19,19,FALSE,0,42.395576,0.321728
Bot20,20,FALSE,0,43.135876,0.321728
Bot21,21,FALSE,0,52.748726,0.321728
Bot22,22,FALSE,0,32.429581,0.321728
Bot23,23,FALSE,0,33.441864,0.321728
Bot24,24,FALSE,0,41.438412,0.321728
Bot25,25,FALSE,0,38.693916,0.321728
Bot26,26,FALSE,0,35.57885,0.322557
Bot27,27,FALSE,0,38.347782,0.321728
Bot28,28,FALSE,0,27.264547,0.321728
Bot29,29,FALSE,0,36.066689,0.322557
Bot30,30,FALSE,0,47.518463,0.321728
Bot31,31,FALSE,0,42.826656,0.321728
Bot32,32,FALSE,0,37.628403,0.321728
Bot33,33,FALSE,0,28.396961,0.321728
Bot34,34,FALSE,0,43.195137,0.321728
Bot35,35,FALSE,0,31.475142,0.322557
Bot36,36,FALSE,0,20.84857,0.322557
Bot37,37,FALSE,0,29.548122,0.321728
Bot38,38,FALSE,0,27.645044,0.323802
Bot39,39,FALSE,0,34.841148,0.322557
Bot40,40,FALSE,0,20.168528,0.325672
Bot41,41,FALSE,0,45.228153,0.322557
Bot42,42,FALSE,0,42.515766,0.321728
Bot43,43,FALSE,0,24.884583,0.325672
Bot44,44,FALSE,0,26.028543,0.321728
Bot45,45,FALSE,0,25.141596,0.325672
Bot46,46,FALSE,0,19.746275,0.325672
Bot47,47,FALSE,0,27.674082,0.321728
Bot48,48,FALSE,0,27.854395,0.321728
Bot49,49,FALSE,0,28.465799,0.321728
Bot50,50,FALSE,0,15.135672,0.322557
Bot51,51,FALSE,0,13.368603,0.322557
Bot52,52,FALSE,0,37.847775,0.321728
Bot53,53,FALSE,0,30.884165,0.322557
Bot54,54,FALSE,0,27.496378,0.321728
Bot55,55,FALSE,0,23.343121,0.321728
Bot56,56,FALSE,0,19.615215,0.322557
Bot57,57,FALSE,0,32.739666,0.321728
Bot58,58,FALSE,0,19.995024,0.325672
Bot59,59,FALSE,0,13.789573,0.325672
Bot60,60,FALSE,0,32.747204,0.321728
Bot61,61,FALSE,0,28.4279,0.323802
Bot62,62,FALSE,0,28.246851,0.321728
Bot63,63,FALSE,0,27.888536,0.323802
Bot64,64,FALSE,0,23.620756,0.323802
Bot65,65,FALSE,0,21.757742,0.321728
Bot66,66,FALSE,0,24.034548,0.321728
Bot67,67,FALSE,0,32.936108,0.321728
Bot68,68,FALSE,0,30.89295,0.322557
Bot69,69,FALSE,0,23.671278,0.321728
Bot70,70,FALSE,0,40.757771,0.322557
Bot71,71,FALSE,0,29.271336,0.321728
Bot72,72,FALSE,0,31.302021,0.322557
Bot73,73,FALSE,0,33.218731,0.321728
Bot74,74,FALSE,0,42.129131,0.321728
Bot75,75,FALSE,0,23.336948,0.321728
Bot76,76,FALSE,0,29.597761,0.322557
Bot77,77,FALSE,0,21.491405,0.322557
Bot78,78,FALSE,0,21.648855,0.321728
Bot79,79,FALSE,0,19.690496,0.322557
Bot80,80,FALSE,0,13.274414,0.322557
Bot81,81,FALSE,0,33.903595,0.321728
Bot82,82,FALSE,0,11.283007,0.321728
Bot83,83,FALSE,0,24.021809,0.322557
Bot84,84,FALSE,0,13.799109,0.321728
Bot85,85,FALSE,0,11.504869,0.322557
Bot86,86,FALSE,0,7.710154,0.323802
Bot87,87,FALSE,0,17.830301,0.321728
Bot88,88,FALSE,0,6.384309,0.322557
Bot89,89,FALSE,0,7.80342,0.322557
Bot90,90,FALSE,0,24.725657,0.322557
Bot91,91,FALSE,0,14.829181,0.322557
Bot92,92,FALSE,0,33.704315,0.321728
Bot93,93,FALSE,0,20.972454,0.322557
Bot94,94,FALSE,0,4.90726,0.322557
Bot95,95,FALSE,0,18.852867,0.321728
Bot96,96,FALSE,0,18.340805,0.323802
Bot97,97,FALSE,0,20.923925,0.322557
Bot98,98,FALSE,0,5.071587,0.322557
Bot99,99,FALSE,0,17.37764,0.321728
