RowName,IDNum,InGame,GamesPlayed,SkillRating
Bot0,0,FALSE,0,1556.28894
Bot1,1,FALSE,0,1507.916626
Bot2,2,FALSE,0,1488.201782
Bot3,3,FALSE,0,1540.488525
Bot4,4,FALSE,0,1578.658569
Bot5,5,FALSE,0,1507.916748
Bot6,6,FALSE,0,1528.319824
Bot7,7,FALSE,0,1513.125
Bot8,8,FALSE,0,1546.673584
Bot9,9,FALSE,0,1508.958374
Bot10,10,FALSE,0,1554.087891
Bot11,11,FALSE,0,1549.370117
Bot12,12,FALSE,0,1507.393799
Bot13,13,FALSE,0,1551.222412
Bot14,14,FALSE,0,1510.788208
Bot15,15,FALSE,0,1552.52417
Bot16,16,FALSE,0,1480.572388
Bot17,17,FALSE,0,1479.901733
Bot18,18,FALSE,0,1538.953491
Bot19,19,FALSE,0,1494.397949
Bot20,20,FALSE,0,1498.519897
Bot21,21,FALSE,0,1540.488525
Bot22,22,FALSE,0,1548.076904
Bot23,23,FALSE,0,1476.998901
Bot24,24,FALSE,0,1559.615479
Bot25,25,FALSE,0,1514.778564
Bot26,26,FALSE,0,1503.215088
Bot27,27,FALSE,0,1494.773926
Bot28,28,FALSE,0,1449.675293
Bot29,29,FALSE,0,1460.201538
Bot30,30,FALSE,0,1486.536011
Bot31,31,FALSE,0,1489.640991
Bot32,32,FALSE,0,1494.455078
Bot33,33,FALSE,0,1516.363647
Bot34,34,FALSE,0,1496.7677
Bot35,35,FALSE,0,1501.637451
Bot36,36,FALSE,0,1508.076904
Bot37,37,FALSE,0,1505.134155
Bot38,38,FALSE,0,1502.657349
Bot39,39,FALSE,0,1491.934692
Bot40,40,FALSE,0,1461.052612
Bot41,41,FALSE,0,1457.052612
Bot42,42,FALSE,0,1473.216309
Bot43,43,FALSE,0,1478.077393
Bot44,44,FALSE,0,1546.275513
Bot45,45,FALSE,0,1491.042114
Bot46,46,FALSE,0,1531.707275
Bot47,47,FALSE,0,1487.910645
Bot48,48,FALSE,0,1530.322998
Bot49,49,FALSE,0,1475.151489
Bot50,50,FALSE,0,1488.13855
Bot51,51,FALSE,0,1494.821411
Bot52,52,FALSE,0,1504.415527
Bot53,53,FALSE,0,1531.25
Bot54,54,FALSE,0,1526.785767
Bot55,55,FALSE,0,1543.050171
Bot56,56,FALSE,0,1499.523804
Bot57,57,FALSE,0,1454.958008
Bot58,58,FALSE,0,1517.518799
Bot59,59,FALSE,0,1440.0
Bot60,60,FALSE,0,1429.756104
Bot61,61,FALSE,0,1506.865234
Bot62,62,FALSE,0,1517.629028
Bot63,63,FALSE,0,1492.012207
Bot64,64,FALSE,0,1512.272827
Bot65,65,FALSE,0,1500.775391
Bot66,66,FALSE,0,1509.16272
Bot67,67,FALSE,0,1508.018311
Bot68,68,FALSE,0,1457.940308
Bot69,69,FALSE,0,1492.815918
Bot70,70,FALSE,0,1537.529175
Bot71,71,FALSE,0,1496.520386
Bot72,72,FALSE,0,1492.542847
Bot73,73,FALSE,0,1487.989136
Bot74,74,FALSE,0,1449.739136
Bot75,75,FALSE,0,1512.540161
Bot76,76,FALSE,0,1528.562744
Bot77,77,FALSE,0,1456.572876
Bot78,78,FALSE,0,1491.818115
Bot79,79,FALSE,0,1498.586914
Bot80,80,FALSE,0,1526.388916
Bot81,81,FALSE,0,1479.696899
Bot82,82,FALSE,0,1499.463501
Bot83,83,FALSE,0,1469.436157
Bot84,84,FALSE,0,1463.253906
Bot85,85,FALSE,0,1476.993408
Bot86,86,FALSE,0,1453.428589
Bot87,87,FALSE,0,1443.120361
Bot88,88,FALSE,0,1506.637451
Bot89,89,FALSE,0,1436.596558
Bot90,90,FALSE,0,1458.195435
Bot91,91,FALSE,0,1492.294312
Bot92,92,FALSE,0,1461.052612
Bot93,93,FALSE,0,1525.296143
Bot94,94,FALSE,0,1489.375
Bot95,95,FALSE,0,1456.825317
Bot96,96,FALSE,0,1530.174194
Bot97,97,FALSE,0,1508.571411
Bot98,98,FALSE,0,1538.827881
Bot99,99,FALSE,0,1437.142822
