
27,12,7,Win,0.923077

27,6,6,Win,0.6

27,4,3,Win,0.444444

27,10,11,Lose,0.833333

27,12,7,Lose,1.090909

27,6,3,Win,0.857143

27,12,6,Win,1.090909

27,6,7,Lose,0.75

27,8,5,Win,0.8

27,3,6,Win,0.3

27,6,8,Lose,0.545455

27,5,10,Lose,0.454545

27,18,9,Lose,1.5

27,11,3,Win,1.222222

27,5,6,Win,0.555556

27,4,6,Lose,0.5

27,8,7,Win,0.727273

27,14,4,Win,1.166667

27,7,8,Lose,0.7

27,4,9,Win,0.333333

27,6,7,Lose,0.666667

27,10,5,Win,1.428571

27,11,10,Win,0.916667

27,6,10,Lose,0.6

27,4,7,Lose,0.5

27,5,9,Lose,0.5

27,4,9,Lose,0.4

27,12,7,Win,1.2

27,12,4,Win,1.2

27,6,7,Win,0.545455

27,7,8,Win,0.7

27,7,9,Win,0.538462

27,4,9,Win,0.4

27,5,7,Lose,0.5

27,10,7,Win,0.909091

27,12,8,Lose,1.0

27,11,8,Lose,0.846154

27,9,4,Win,0.9

27,8,6,Win,0.8

27,7,9,Lose,0.777778

27,9,10,Lose,0.692308

27,5,3,Win,0.714286
