
56,6,9,Lose

56,9,9,Lose

56,11,11,Win

56,8,9,Lose

56,11,6,Lose

56,14,4,Win

56,5,8,Lose

56,9,3,Win

56,4,8,Lose

56,3,6,Lose

56,3,11,Lose

56,7,6,Lose

56,3,5,Lose

56,6,0,Win

56,5,1,Win

56,8,8,Win

56,4,9,Lose

56,10,8,Win

56,9,11,Lose

56,10,3,Win

56,9,10,Lose

56,15,7,Lose

56,9,7,Lose

56,3,9,Lose

56,10,3,Win

56,14,10,Win

56,8,8,Win

56,6,6,Win

56,8,8,Lose

56,12,2,Win

56,7,8,Lose

56,14,8,Win

56,8,9,Lose

56,9,5,Win

56,7,7,Lose

56,6,3,Win

56,10,11,Win

56,4,8,Win

56,4,10,Lose

56,14,13,Win

56,12,2,Win

56,10,9,Lose

56,15,2,Win

56,7,11,Win

56,1,7,Lose

56,10,12,Lose
